Firma;Ansprechpartner;Position;Telefon;Email;Quelle
Oppermann Bau GmbH, Alfeld (31061);nicht gefunden;;;;Kein verifiziertes Ergebnis
Vorpommersche Bau GmbH, Anklam (17389);nicht gefunden;;;;Kein verifiziertes Ergebnis
Wilhelm Fischer GmbH, Barsinghausen (30890);nicht gefunden;;;;Kein verifiziertes Ergebnis
Rügener Straßen- und Tiefbau GmbH, Bergen auf Rügen (18528);Andreas Bartel;Geschäftsführer;03838 315170;info@estra-ruegen.de;ruegen-estra.de
MBN Bau AG, Berlin (12681);nicht gefunden;;;;MBN Bau AG wurde 2020 mit MBN GmbH verschmolzen
Jean Bratengeier GmbH, Berlin (12277);nicht gefunden;;;;Firmensitz ist Dreieich/Hessen
Schälerbau Berlin GmbH, Berlin (12679);nicht gefunden;;;;Firma wurde 2007 in August Reiners eingegliedert
KommunalBau GmbH, Berlin (13407);nicht gefunden;;;;Kein verifiziertes Ergebnis
GSB Straßenbau GmbH, Berlin (13509);nicht gefunden;;;;Kein verifiziertes Ergebnis
Tiefbau Barnim GmbH, Bernau (16321);nicht gefunden;;;;Kein verifiziertes Ergebnis
Harzer Hoch- und Tiefbau GmbH, Blankenburg (38889);Chris Stallmann;Geschäftsführer;039458 226;hht-stallmann@t-online.de;harzer-hoch-und-tiefbau.de
Straßen- und Tiefbau Jopp GmbH, Bochum (44793);nicht gefunden;;;;Kein verifiziertes Ergebnis
Scherp Bau GmbH, Bochum (44879);nicht gefunden;;;;Kein verifiziertes Ergebnis
Haddick & Sohn GmbH, Borken (46325);Oliver Kublik;Geschäftsführer;02861 92443-0;mail@haddick.de;haddick.de
Fricke Schüttpelz GmbH, Braunschweig (38112);nicht gefunden;;;;Kein verifiziertes Ergebnis
Arge Asphalt Ruhr GmbH, Dortmund (44309);nicht gefunden;;;;Kein verifiziertes Ergebnis
Friedrich Freund Straßenbau GmbH, Dortmund (44227);nicht gefunden;;;;Kein verifiziertes Ergebnis
GEHRKEN Straßen- und Tiefbau GmbH & Co. KG, Dortmund (44147);Torsten Niedergriese;Geschäftsführer;0231 9882-0;;gehrken.de
Schleith GmbH NL NRW, Dortmund (44135);nicht gefunden;;;;Schleith GmbH sitzt in Waldshut-Tiengen
Albert Weil AG NL Duisburg, Duisburg (47051);nicht gefunden;;;;Albert Weil AG sitzt in Limburg-Offheim
Schüssler Straßen- und Tiefbau GmbH, Düsseldorf (40233);nicht gefunden;;;;Kein verifiziertes Ergebnis
Kiel Straßen- und Tiefbau GmbH, Düsseldorf (40591);nicht gefunden;;;;Kein verifiziertes Ergebnis
Nordpflaster GmbH, Eberswalde (16225);nicht gefunden;;;;Kein verifiziertes Ergebnis
Spieker Straßen- und Tiefbau GmbH, Essen (45307);nicht gefunden;;;;Bauunternehmung Spieker GmbH sitzt in Gelsenkirchen
Oderland Straßenbau GmbH, Fürstenwalde (15517);nicht gefunden;;;;Kein verifiziertes Ergebnis
Heckmann Bau GmbH, Gelsenkirchen (45891);nicht gefunden;;;;Bernhard Heckmann GmbH & Co. KG sitzt in Hamm
Gehrke Straßen- und Tiefbau GmbH, Gifhorn (38518);nicht gefunden;;;;Kein verifiziertes Ergebnis
Pommersche Tiefbau GmbH, Greifswald (17489);nicht gefunden;;;;Kein verifiziertes Ergebnis
Otto Alte-Teigeler GmbH, Göttingen (37079);nicht gefunden;;;;Firma sitzt in Bietigheim
ARGE Straßenbau Güstrow GmbH, Güstrow (18273);Uwe Jacob;Geschäftsführer/Liquidator;03843 681178;;northdata.de
Mense-Korte Ingenieure + Bau GmbH, Haltern am See (45721);Waldemar Korte;Geschäftsführer;02521 851350;;mense-korte.de
Rinne Straßen- und Tiefbau GmbH, Hameln (31785);nicht gefunden;;;;TBS Rinne GmbH sitzt in Panketal
Fritz Spieker GmbH, Hamm (59071);Jörn Spieker;Geschäftsführer;0441 34098-0;;fritz-spieker.de
Raulf Straßen- und Tiefbau GmbH, Hannover (30179);nicht gefunden;;;;Kein verifiziertes Ergebnis
Hungerland GmbH, Hannover (30179);nicht gefunden;;;;Kein verifiziertes Ergebnis
Hermanns Straßen- und Tiefbau GmbH, Helmstedt (38350);nicht gefunden;;;;HERMANNS AG sitzt in Kassel
Heinrich Rädel GmbH, Hennigsdorf (16761);nicht gefunden;;;;Kein verifiziertes Ergebnis
Heitkamp Erd- und Straßenbau GmbH, Herne (44625);Jörg Kranz;Geschäftsführer;+49 2325 57-1551;info@heitkamp-ug.de;heitkamp-ug.de
Kutter GmbH NL Hildesheim, Hildesheim (31137);nicht gefunden;;;;Kutter GmbH & Co. KG sitzt in Memmingen
Steinbrecher Bau GmbH, Holzminden (37603);nicht gefunden;;;;Kein verifiziertes Ergebnis
