Firma;Ansprechpartner;Position;Telefon;Email;Quelle
Oppermann Bau GmbH, 31061 Alfeld (Leine);nicht gefunden;;;;"Firma unter oppermann-bau.de/oppermann-bau.com nicht eindeutig Alfeld zuzuordnen. Mehrere Oppermann-Bau-Firmen existieren (Halle, Wolfenbuettel, Holzminden), aber keine spezifisch in Alfeld (Leine) verifizierbar. Moeglicherweise nicht mehr aktiv oder umfirmiert."
Vorpommersche Bau GmbH Anklam, 17389 Anklam;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Handelsregistereintrag unter diesem Namen. In Anklam sind ATS Anklamer Tief- und Strassenbau GmbH und Tiefbau Sommerfeld GmbH taetig - moeglicherweise Nachfolger oder Verwechslung."
Wilhelm Fischer GmbH Strassen- und Tiefbau, 30890 Barsinghausen;nicht gefunden;;;;"Website fischer-bau-barsinghausen.de nicht verifizierbar. In der Region gibt es Fischer Bau GmbH (Laatzen/Hannover) mit GF Bernd-Ludwig Fischer, aber Zuordnung zu Barsinghausen unsicher. Auch G & K Tiefbau GmbH in 30890 Barsinghausen gefunden - moeglicherweise Nachfolger."
Kemna Bau Andreae GmbH & Co. KG - NL Berlin, 12359 Berlin;Jacob Andreae;Geschaeftsfuehrer;05181/8060;info@kemna.de;"kemna.de/impressum.php - GF der Hauptgesellschaft: Dipl.-Wirtsch.-Ing. Jacob Andreae und Dipl.-Kfm. Michael Liell. Hauptsitz Pinneberg, NL Berlin ist Niederlassung."
MBN Bau AG, 12681 Berlin;Masar Nezaj;Geschaeftsfuehrer;030/65010206;info@mbnbau.de;"mbnbau.de/impressum-datenschutz/ - M.B.N. Bau GmbH (frueher MBN Bau AG), Mariendorfer Damm 82, 12109 Berlin. GF Masar Nezaj. Vorstand der uebergeordneten MBN Bau AG: Jens Boehm (Sprecher) und Rolf-Christian Roemer."
Jean Bratengeier GmbH, 12277 Berlin;Gerhard Bratengeier;Geschaeftsfuehrer (Hauptsitz Dreieich);;info@bratengeier.de;"northdata.com/Jean Bratengeier Baugesellschaft mbH - Hauptsitz Dreieich (Hessen), Im Steingrund 6, 63303 Dreieich. GF Dipl.-Ing. Gerhard Bratengeier. Berlin-Niederlassung (PLZ 12277) ist Zweigstelle ohne eigene GF-Angabe."
Schaelerbau Berlin GmbH, 12679 Berlin;nicht gefunden;;;;"Firma 2007 in August Reiners Bauunternehmung GmbH (Hegemann-Reiners Gruppe) verschmolzen. Letzter bekannter GF war Manfred Hermanns. Firma existiert nicht mehr eigenstaendig."
KommunalBau GmbH Berlin, 13407 Berlin;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata, Companyhouse oder in Suchmaschinen. Website kommunalbau-berlin.de nicht verifizierbar. Moeglicherweise aufgeloest oder umfirmiert."
GSB Strassenbau GmbH Berlin, 13509 Berlin;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata, Companyhouse oder in Suchmaschinen. Website gsb-strassenbau.de nicht verifizierbar. In Berlin 13509 kein passender Handelsregistereintrag gefunden."
Tiefbau Barnim GmbH Bernau, 16321 Bernau bei Berlin;nicht gefunden;;;;"Firma online nicht auffindbar. Website tiefbau-barnim.de nicht verifizierbar. Kein Treffer auf Northdata oder Companyhouse. In Bernau sind R&B Bau GmbH und Hoch- und Tiefbau Schoenfeld GmbH taetig."
Strassen- und Tiefbau Jopp GmbH, 44793 Bochum;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata, Companyhouse oder in Suchmaschinen unter diesem Namen. Website jopp-bau.de nicht verifizierbar. Moeglicherweise aufgeloest oder umfirmiert."
Scherp Bau GmbH, 44879 Bochum;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata, Companyhouse oder in Suchmaschinen unter scherp-bau.de. Moeglicherweise aufgeloest oder umfirmiert. Nicht zu verwechseln mit Schweerbau GmbH & Co. KG (anderes Unternehmen)."
Fricke Schuetppelz GmbH & Co. KG, 38112 Braunschweig;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer unter 'Fricke Schuetppelz' oder 'Fricke-Schuetzpelz' in Braunschweig. In 38112 Braunschweig nur Fricke Geruestbau GmbH gefunden. Moeglicherweise aufgeloest, umfirmiert oder Schreibweise abweichend."
Arge Asphalt Ruhr GmbH, 44309 Dortmund;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata oder in Suchmaschinen. In Dortmund sind andere Asphaltfirmen taetig (Asphaltbau Zerkaoui, Maerkische Asphalt Klasberg & Franzen GmbH). Moeglicherweise aufgeloest."
Friedrich Freund Strassenbau GmbH, 44227 Dortmund;nicht gefunden;;;;"Firma unter freund-strassenbau.de nicht verifizierbar. In Dortmund existiert Freund Bau GmbH (Dachdeckerbetrieb, GF Joachim Freund, 44379 Dortmund) - anderes Geschaeftsfeld (Dachdecker statt Strassenbau). Moeglicherweise aufgeloest oder Verwechslung."
Schleith GmbH - NL NRW, 44135 Dortmund;Dagur Gunnarsson;Geschaeftsfuehrer;07751/8330;info@schleith.de;"schleith.de/impressum - GF der Hauptgesellschaft: Dagur Gunnarsson und Mario Andre Schleith. Hauptsitz Waldshut-Tiengen. Hinweis: NL NRW/Dortmund in aktuellen Standorten NICHT aufgefuehrt - Niederlassungen nur in Baden-Wuerttemberg, Hessen und Rheinland-Pfalz. NL moeglicherweise geschlossen."
Albert Weil AG - NL Duisburg, 47051 Duisburg;Klaus Rohletter;Vorstandsvorsitzender;06431/91000;info@albertweil.de;"bauunternehmung-albertweil.de - Vorstand: Klaus Rohletter (Vors.), Stefan Hopmann, Stefan Jung-Diefenbach, Benedikt Rohletter. Hauptsitz Limburg-Offheim. NL Duisburg auf Website nicht separat aufgefuehrt."
Schuessler Strassen- und Tiefbau GmbH, 40233 Duesseldorf;Michael Lueke;Geschaeftsfuehrer;0211/638857;info@schuessler-bau.de;"schuessler-bau.de/Impressum + cylex.de - Firma gegruendet 1946 von Ferdinand Schuessler. 1982 uebernahm Reinhold Lueke, jetzt GF Michael Lueke. Firmenname evtl. geaendert zu Lueke Bauunternehmung GmbH. Adresse: Scheffelstr. 85, 40470 Duesseldorf. PLZ weicht ab (40470 statt 40233)."
Kiel Strassen- und Tiefbau GmbH, 40591 Duesseldorf;nicht gefunden;;;;"Firma online nicht auffindbar. Kein Treffer auf Northdata, Companyhouse oder in Suchmaschinen unter kiel-bau.de. Moeglicherweise aufgeloest oder umfirmiert. Nicht zu verwechseln mit Kuester Strassen- und Tiefbau in Duesseldorf."
Nordpflaster GmbH Eberswalde, 16225 Eberswalde;nicht gefunden;;;;"Firma online nicht auffindbar. Website nordpflaster.de nicht verifizierbar. Kein Treffer auf Northdata oder Companyhouse. Moeglicherweise aufgeloest oder umfirmiert."
Spieker Strassen- und Tiefbau GmbH, 45307 Essen;Frank Spieker;Geschaeftsfuehrer;0201/5560;info@spieker-bau.de;"northdata.com - Bauunternehmung Spieker GmbH, Gruener Weg 27, 45884 Gelsenkirchen. GF: Frank Spieker und Joern F. Spieker. Hinweis: Firmensitz laut Handelsregister in Gelsenkirchen, nicht Essen (45307). Adresse abweichend."
Oderland Strassenbau GmbH, 15517 Fuerstenwalde/Spree;nicht gefunden;;;;"Firma online nicht auffindbar. Website oderland-strassenbau.de nicht verifizierbar. Kein Treffer auf Northdata oder Companyhouse. In Fuerstenwalde taetig: Stechling Tief- und Strassenbau GmbH (Am Bahndamm 10, GF Konrad Ebert) - moeglicherweise Nachfolger."
